Post,id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
22,635054059945646_1484918011625909,4827,6.35E+14,Black Panther,Hero. Legend. King. #BlackPanther,2018-01-09T20:00:54+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1484918011625909/,NA,79,812,1407,5,140,1,0
23,635054059945646_1486863921431318,5714,6.35E+14,Black Panther,ìI waited my entire life for this.î #BlackPanther,2018-01-11T20:00:43+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1486863921431318/,NA,140,904,1466,6,200,2,2
24,635054059945646_1487758818008495,3154,6.35E+14,Black Panther,"Get your tickets to see Marvel Studios' ""Black Panther"" NOW: www.fandango.com/blackpanther",2018-01-12T20:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1487758818008495/?type=3,NA,76,277,616,6,89,1,0
25,635054059945646_1488849304566113,4144,6.35E+14,Black Panther,"""What happens now determines what happens to the rest of the world."" #BlackPanther",2018-01-13T20:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1488849304566113/?type=3,NA,40,302,811,8,88,0,0
26,635054059945646_1491578550959855,2454,6.35E+14,Black Panther,ìYou get to decide what kind of king you are going to be.î #BlackPanther,2018-01-16T20:30:41+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1491578550959855/,NA,31,425,671,2,52,0,0
27,635054059945646_1492607990856911,4034,6.35E+14,Black Panther,"Be a legend among 100 of your family and friends and enter at Disney Movie Rewards for a chance to win a private screening of Marvel Studios' ""Black Panther"": http://bit.ly/2rk4MPQ",2018-01-17T23:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1492607990856911/?type=3,NA,37,292,649,3,90,1,0
28,635054059945646_1494735200644190,828,6.35E+14,Black Panther,"Want to attend the Los Angeles premiere of Marvel Studios' ""Black Panther""? Bid now for a chance to receive TWO tickets! All proceeds will go to the GO Campaign. Learn more:",2018-01-19T19:01:00+0000,link,http://bit.ly/2BeD0nF,NA,12,39,105,1,27,0,0
29,635054059945646_1495736243877419,2088,6.35E+14,Black Panther,"Protect. Defend. Wakanda Forever. See Marvel Studios' ""Black Panther"" in theaters February 16. Get tickets: www.fandango.com/blackpanther",2018-01-20T19:00:39+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1495736243877419/,NA,53,322,486,1,46,0,0
30,635054059945646_1496671813783862,2303,6.35E+14,Black Panther,"ìNow it is time to show the outside world who we are.î Get tickets to Marvel Studios' ""Black Panther"" now: www.fandango.com/blackpanther",2018-01-21T17:00:40+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1496671813783862/,NA,38,262,463,1,44,0,0
31,635054059945646_1497899543661089,4138,6.35E+14,Black Panther,Selfie time with Winston Duke and Daniel Kaluuya! #SAGAwards #BlackPanther (via Lupita Nyong'o),2018-01-22T22:25:32+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1497899543661089/?type=3,NA,61,168,949,7,46,0,0
